variant,metric,t_stat,p_value,n
A4,l2_rel,-0.9999890749717697,0.3234801652095872,40
A4,total_time,4.271284656479585,0.00012067627266943698,40
A4,peak_gpu_mem,1.3126023018695365,0.19698932414675413,40
A4,num_params,,,40
A6,l2_rel,,,40
A6,total_time,-6.752721702081215,4.69127694878527e-08,40
A6,peak_gpu_mem,-26.210988183978365,2.2507366535994898e-26,40
A6,num_params,-7.36207266234502,6.857139315459616e-09,40
A5,l2_rel,,,40
A5,total_time,-6.965784807224353,2.3879266804695733e-08,40
A5,peak_gpu_mem,-26.20978777518006,2.2545493442130243e-26,40
A5,num_params,-7.36207266234502,6.857139315459616e-09,40
A2,l2_rel,,,40
A2,total_time,-6.645083941816535,6.604987423996301e-08,40
A2,peak_gpu_mem,-29.470079491655845,2.887840748103177e-28,40
A2,num_params,-7.36207266234502,6.857139315459616e-09,40
A3,l2_rel,-1.0000084555526298,0.3234709051012691,40
A3,total_time,4.531749199323425,5.419110144841454e-05,40
A3,peak_gpu_mem,1.3116123154220587,0.19732013191568049,40
A3,num_params,,,40
